job_post_id,client_id,job_title,job_description,project_type,project_scope,experience_level,status,domain
d7c37934-fd39-4cb2-a451-d69551e095c3,3b504abb-074c-4951-bd01-260bf1766068,Junior UI/UX Designer,We are looking to hire a entry-level contributor for a remote Design engagement. Core work: Mobile app redesign — measurably reduce onboarding drop-off (currently 60%). Secondary tasks may include internal tool UX overhaul to reduce support tickets by 30%. We expect clear documentation of decisions and trade-offs. Code is reviewed in pull requests; mainline must always be deployable.,team,medium,entry,active,design
8f6685fb-18e4-40f6-a7a8-25411d4d8e6b,4f2e22f4-eb4c-4fce-b643-8ef2525f7a04,Backend API Developer,"Project posting: Backend contractor at the intermediate level. The main scope is: Design a rate-limiting layer for a public API serving 10k requests per minute. Secondary tasks may include add full-text search to an existing FastAPI service using PostgreSQL tsvector. Two-week iteration cadence with one async demo per cycle. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,large,intermediate,active,backend
06b1f014-ea11-4749-9aa2-ceeb711c36dd,4992884b-5c59-4cd1-95a0-00f3eff48cc4,Lead UI/UX Designer,"Project posting: Design contractor at the intermediate level. We need someone to internal tool UX overhaul to reduce support tickets by 30%. On top of that, you may help with build a design system covering 80 components with light/dark themes and tokens. Good written English is required for async stand-ups; Bahasa Indonesia is a plus.",team,medium,intermediate,filled,design
174119fe-0d14-4c88-8ba6-a0bd6a1d65ea,27c4be08-ee16-4aa0-9c8a-8c17a8794c71,Mid-level DevOps Engineer,Project posting: Devops contractor at the expert level. The main scope is: Audit AWS spend and implement right-sizing recommendations to cut 30% cost. There is also some adjacent work around implement secret rotation across services using AWS Secrets Manager. Familiarity with our broader stack (see job role skills) is expected.,team,medium,expert,active,devops
c203b870-6c60-421f-a64a-4b5d0ddbf00c,2f1554e6-293d-4d9b-84dc-835099a0aae6,Frontend Development Specialist,"Seeking a Frontend specialist (level: intermediate) for a 4–12 week engagement. Primary deliverable: Create a design-system library with 30 components, dark mode, and Storybook docs. On top of that, you may help with build a customer dashboard with charting, filtering, and CSV export — must handle 200k rows. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Delivery is in two-week iterations with a demo at the end of each cycle.",individual,medium,intermediate,closed,frontend
5ca4a8af-3055-4212-9a93-b68d7e665abe,ebfe429a-7a1a-4f2f-987f-e71d355a3b6d,Blockchain Development Engineer,Open contract: Blockchain work suited to a entry contributor. We need someone to create a DAO governance module with weighted voting and on-chain proposal storage. Secondary tasks may include develop a wallet-connect onboarding flow for a Web3 game. You should be comfortable owning the work end-to-end and writing brief weekly updates.,team,large,entry,active,blockchain
dc8135ea-ba43-4d3c-822c-9bdf7de1b0f5,e93d72f7-e240-4c57-8b1f-7c61f6c37872,Data Science Engineer,We are looking to hire a intermediate-level contributor for a remote Ml/Ai engagement. Primary deliverable: Fine-tune an LLM on internal knowledge base for an internal Q&A bot. Secondary tasks may include implement a document RAG pipeline retrieving from 50k internal PDFs with citation tracking. Prior experience shipping similar projects is required — please link relevant work. Code is reviewed in pull requests; mainline must always be deployable.,individual,medium,intermediate,closed,ml_ai
5663b2b9-77d0-4ff2-9cd4-bfe4c2797a68,c6272de7-4578-4e9b-9252-c1437121f35e,Lead Backend Engineer,"We are looking to hire a expert-level contributor for a remote Backend engagement. Core work: Design a rate-limiting layer for a public API serving 10k requests per minute. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,medium,expert,active,backend
1a5f0c8f-87dd-4fc0-ad94-74f7583baeee,1a8738b6-de1c-4504-8d85-36431e8a0422,Web3 Developer,Project posting: Blockchain contractor at the entry level. Core work: Audit and patch a lending protocol — disclose findings with severity ratings. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Delivery is in two-week iterations with a demo at the end of each cycle.,team,medium,entry,closed,blockchain
754a29c0-dfdf-4125-affc-fdca73d321e0,6eb62d9e-9522-4588-b6dd-939708c41aa8,Backend API Developer,We are looking to hire a entry-level contributor for a remote Backend engagement. Core work: Build a background job queue using Redis streams to send transactional emails. Secondary tasks may include design a PostgreSQL schema for multi-tenant invoicing with row-level security. Prior experience shipping similar projects is required — please link relevant work. Code is reviewed in pull requests; mainline must always be deployable.,team,small,entry,closed,backend
3b3847ef-68e2-4fa3-81f2-77485be5c210,173590f0-cffe-4b54-a069-59611832b7b1,Junior Backend Engineer,We are looking to hire a entry-level contributor for a remote Backend engagement. The main scope is: Implement a Stripe-style webhook receiver with idempotent retries and dead-letter queue. Secondary tasks may include design a PostgreSQL schema for multi-tenant invoicing with row-level security. We expect clear documentation of decisions and trade-offs. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.,team,medium,entry,active,backend
0205872e-dab8-4cb1-a57c-147298cc3ee2,5b9b04ab-8273-4140-ba09-a181e24f3438,Frontend Development Specialist,"We are looking to hire a expert-level contributor for a remote Frontend engagement. Core work: Implement an editable Kanban board with drag-and-drop and live multi-user updates. On top of that, you may help with refactor an Angular app to React with feature parity over 4 weeks. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,small,expert,active,frontend
c905e74e-371a-4e6d-8920-5b9a77eabaf1,c4c61b73-7590-4e25-9bed-999f38bff7f4,UI Development Engineer,Our team needs an intermediate Frontend freelancer to support an active project. The main scope is: Implement a multi-step onboarding flow with autosave and validation across 12 fields. Prior experience shipping similar projects is required — please link relevant work. Engagement is fully remote; team timezones are GMT+7 and GMT−5.,team,small,intermediate,filled,frontend
856c4486-bed4-4939-94e2-bc829de20c38,673a6713-16bd-49f6-92ab-21ef6dd6fb99,Senior Machine Learning Engineer,"We are looking to hire a expert-level contributor for a remote Ml/Ai engagement. We need someone to develop a recommendation system for a media platform — collaborative + content-based hybrid. On top of that, you may help with build a customer-support classifier to route tickets — should reduce first-response time by 40%. Good written English is required for async stand-ups; Bahasa Indonesia is a plus.",individual,small,expert,closed,ml_ai
9ffd6b6b-e34b-43eb-81f4-663d6ec87bee,70c5d824-eaaa-4679-9177-c7b615da19b1,Backend API Developer,"Seeking a Backend specialist (level: intermediate) for a 4–12 week engagement. We need someone to migrate a legacy MySQL database to PostgreSQL with zero downtime. On top of that, you may help with design a PostgreSQL schema for multi-tenant invoicing with row-level security.",individual,medium,intermediate,closed,backend
74f51c99-03b6-451e-9eae-57ec9052a7bd,73d69dd7-e9cd-452c-94ec-1685088b5aed,Smart Contract Development Specialist,"Project posting: Blockchain contractor at the intermediate level. Primary deliverable: Implement a subgraph indexer for an existing protocol with 6 entity types. Stretch goal if time allows: Develop an NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. We expect clear documentation of decisions and trade-offs. Weekly written status updates expected, with one async video walkthrough per milestone.",team,small,intermediate,active,blockchain
d681e789-917a-4e08-9d17-782121a4aaca,adfb830a-3933-4739-b51a-2c82ea395daa,Web3 Developer,Open contract: Blockchain work suited to a intermediate contributor. Core work: Develop a wallet-connect onboarding flow for a Web3 game. Secondary tasks may include audit and patch a lending protocol — disclose findings with severity ratings. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Delivery is in two-week iterations with a demo at the end of each cycle.,team,large,intermediate,active,blockchain
229adc3c-8a01-43c6-a50d-42c32fb3f271,121803ae-73fe-4511-a9bf-cd01176ad140,Lead Frontend Developer,"We are looking to hire a intermediate-level contributor for a remote Frontend engagement. Core work: Add accessibility (WCAG 2.1 AA) compliance to an existing SaaS product. On top of that, you may help with build a customer dashboard with charting, filtering, and CSV export — must handle 200k rows. You should be comfortable owning the work end-to-end and writing brief weekly updates.",individual,small,intermediate,filled,frontend
1bacf32e-4bda-41a0-815f-b873fda246c0,2a6cad81-c18d-42cb-8b8c-f4d88d5c5e16,Mid-level Frontend Engineer,"Open contract: Frontend work suited to a intermediate contributor. The main scope is: Build an interactive data-viz dashboard using D3 and React. On top of that, you may help with refactor an Angular app to React with feature parity over 4 weeks. Two-week iteration cadence with one async demo per cycle. Code is reviewed in pull requests; mainline must always be deployable.",individual,small,intermediate,active,frontend
54f0f19d-6149-402c-8cff-1770d1cf343c,11c68ce1-a8e4-4b02-b2be-21559b125178,Full-Stack Development Engineer,"We are looking to hire a intermediate-level contributor for a remote Fullstack engagement. Primary deliverable: Develop a content management system with role-based publishing and versioning. Stretch goal if time allows: Develop a booking platform integrating Google Calendar, video calls, and SMS reminders. You should be comfortable owning the work end-to-end and writing brief weekly updates. Code is reviewed in pull requests; mainline must always be deployable.",individual,small,intermediate,active,fullstack
1c328d15-62e1-4912-a47d-221de07919d5,1bf52407-b9ad-4bee-afd7-3de4f4e35294,Graphic Design Engineer,Our team needs an entry Design freelancer to support an active project. The main scope is: Create high-fidelity prototypes for a new feature flow with usability testing rounds. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.,team,small,entry,filled,design
8fcc6db5-e7ab-4e5c-8196-a23e2cc6cf9f,098c4f16-a341-4535-82cc-dea30fed01dd,App Development Specialist,"We are looking to hire a intermediate-level contributor for a remote Mobile engagement. Core work: Build a food-delivery rider app with GPS tracking, push notifications, and in-app payments. Stretch goal if time allows: Build a habit-tracking app with streaks, reminders, and Apple/Google Health sync. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Code is reviewed in pull requests; mainline must always be deployable.",team,small,intermediate,filled,mobile
bc66a950-8efa-47ec-bc3d-6f25b0de9dd3,fddea260-78cf-451f-b390-f16d06102e94,AI Engineering Specialist,Our team needs an intermediate Ml/Ai freelancer to support an active project. Core work: Develop a recommendation system for a media platform — collaborative + content-based hybrid. Stretch goal if time allows: Build a customer-support classifier to route tickets — should reduce first-response time by 40%. You should be comfortable owning the work end-to-end and writing brief weekly updates. Engagement is fully remote; team timezones are GMT+7 and GMT−5.,individual,large,intermediate,filled,ml_ai
d9c16a18-9c04-4149-b4d7-e05c7991623a,cf449a37-b2b7-477a-9970-a22453b2166b,ML Engineer,"Our team needs an intermediate Ml/Ai freelancer to support an active project. Core work: Build a customer-support classifier to route tickets — should reduce first-response time by 40%. On top of that, you may help with create a resume parser extracting structured fields with confidence scores. Prior experience shipping similar projects is required — please link relevant work. Code is reviewed in pull requests; mainline must always be deployable.",individual,large,intermediate,active,ml_ai
ab1f60d4-a547-4027-9dcc-605fbed95bd3,db83290b-a1a5-401c-ba43-308ad7c8c0bf,UI Development Engineer,"Open contract: Frontend work suited to a intermediate contributor. Primary deliverable: Create a marketing landing page with WebGL hero animation and 95+ Lighthouse score. On top of that, you may help with refactor an Angular app to React with feature parity over 4 weeks. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",team,large,intermediate,closed,frontend
fafb76ff-0e0e-4e04-a071-9415c7608087,3337ba48-f952-4d79-ab53-f779e25e3aba,Lead Backend Developer,"Open contract: Backend work suited to a expert contributor. We need someone to build a background job queue using Redis streams to send transactional emails. Secondary tasks may include build a REST API for a stock-take mobile app, including OAuth2 login, pagination, and offline retry support. We expect clear documentation of decisions and trade-offs. Code is reviewed in pull requests; mainline must always be deployable.",individual,small,expert,filled,backend
02c8d61a-3e95-4708-ad23-9ff1b35c1abf,ad4054fc-3856-480f-9c1f-253e4c3b1632,Blockchain Development Engineer,Open contract: Blockchain work suited to a expert contributor. Primary deliverable: Create a DAO governance module with weighted voting and on-chain proposal storage. There is also some adjacent work around build a yield-aggregator vault with composable strategy modules. Familiarity with our broader stack (see job role skills) is expected. Delivery is in two-week iterations with a demo at the end of each cycle.,team,medium,expert,active,blockchain
8db7a856-2ae5-4464-b435-c4d92b58c9fd,b0afb5d2-6a24-44b4-b9f7-bdb0e4a1a816,AI Engineering Specialist,Project posting: Ml/Ai contractor at the intermediate level. Primary deliverable: Develop a recommendation system for a media platform — collaborative + content-based hybrid. Stretch goal if time allows: Implement a document RAG pipeline retrieving from 50k internal PDFs with citation tracking. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Engagement is fully remote; team timezones are GMT+7 and GMT−5.,team,medium,intermediate,active,ml_ai
6119e85f-a714-48a5-add3-b51beb412b18,8c8b6e74-fc19-4a95-b6d5-e004d215f8d7,Web Development Frontend,Seeking a Frontend specialist (level: intermediate) for a 4–12 week engagement. Primary deliverable: Implement an editable Kanban board with drag-and-drop and live multi-user updates. There is also some adjacent work around optimise an existing React app from 6s LCP to under 2s on 3G. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,small,intermediate,active,frontend
43655713-4cea-4f26-b485-cf503a9739f8,cb2b66a3-6877-439a-a0e0-127b3d267f40,Full-Stack Development Engineer,"We are looking to hire a intermediate-level contributor for a remote Fullstack engagement. The main scope is: Build the MVP for a fitness-tracking SaaS — Next.js app, PostgreSQL, Stripe billing. On top of that, you may help with implement a subscription analytics dashboard pulling from MRR, churn, and LTV metrics. We expect clear documentation of decisions and trade-offs. Weekly written status updates expected, with one async video walkthrough per milestone.",team,medium,intermediate,active,fullstack
a24f1fea-4554-4a91-bf8f-57448bf77b81,4fd37cc9-cdbb-4f46-9175-964e93bfda60,Blockchain Developer,Our team needs an entry Blockchain freelancer to support an active project. The main scope is: Create a DAO governance module with weighted voting and on-chain proposal storage. You should be comfortable owning the work end-to-end and writing brief weekly updates. Code is reviewed in pull requests; mainline must always be deployable.,individual,medium,entry,active,blockchain
3d2a242c-605f-42f2-8fbc-2723050f01e1,786744c8-2d7c-4f2b-8bab-96fafbaf7072,Backend Development Engineer,"Project posting: Backend contractor at the intermediate level. Primary deliverable: Migrate a legacy MySQL database to PostgreSQL with zero downtime. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",team,small,intermediate,active,backend
fe5afc21-e211-4441-91c3-c318b3e85802,3b40fcb9-ab90-4dc1-b426-6ff0a3077c51,Blockchain Development Engineer,Project posting: Blockchain contractor at the intermediate level. Core work: Build a DEX router supporting Uniswap V3 and SushiSwap with slippage protection. Prior experience shipping similar projects is required — please link relevant work. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,large,intermediate,active,blockchain
a7b2f2fe-d04c-43c1-960b-b4ae53bae5a7,3c4cd93a-aa89-4255-9d53-ff9e808afb74,Data Science Engineer,Our team needs an intermediate Ml/Ai freelancer to support an active project. Core work: Build a churn prediction model with explainability via SHAP for the success team. Secondary tasks may include implement an anomaly detection system on telemetry data with weekly retraining. Prior experience shipping similar projects is required — please link relevant work. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,medium,intermediate,closed,ml_ai
374dc0c7-63bc-4130-9cdd-23b958914714,116cd7de-3485-42f2-8c3f-9a183493b2b6,Frontend Development Specialist,"Our team needs an entry Frontend freelancer to support an active project. The main scope is: Create a marketing landing page with WebGL hero animation and 95+ Lighthouse score. Stretch goal if time allows: Build a real-time chat UI with typing indicators, read receipts, and file uploads. Familiarity with our broader stack (see job role skills) is expected. Engagement is fully remote; team timezones are GMT+7 and GMT−5.",team,medium,entry,active,frontend
a8da8dd9-f483-41b3-a7a6-18e64d6a16b1,0eabcca0-ecf4-49de-9369-77c2cf007270,Web3 Developer,"We are looking to hire a intermediate-level contributor for a remote Blockchain engagement. We need someone to develop an NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Stretch goal if time allows: Develop a wallet-connect onboarding flow for a Web3 game. Familiarity with our broader stack (see job role skills) is expected. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,small,intermediate,active,blockchain
d3df91c5-ebdb-4847-881c-d5bf9876c597,3e277274-620e-4aa5-8212-d20c8acc88f5,UI Development Engineer,Our team needs an intermediate Frontend freelancer to support an active project. Core work: Refactor an Angular app to React with feature parity over 4 weeks. There is also some adjacent work around build an interactive data-viz dashboard using D3 and React. Two-week iteration cadence with one async demo per cycle. Code is reviewed in pull requests; mainline must always be deployable.,individual,small,intermediate,closed,frontend
6a058153-2fae-47f8-9155-0a09ddfd8d2d,d23f893c-52ba-45b6-9ccc-e3609b785535,Senior Full Stack Engineer,"Open contract: Fullstack work suited to a intermediate contributor. Core work: Build the MVP for a fitness-tracking SaaS — Next.js app, PostgreSQL, Stripe billing. On top of that, you may help with build an inventory management web app with barcode scanning on mobile and desktop. Two-week iteration cadence with one async demo per cycle. Code is reviewed in pull requests; mainline must always be deployable.",individual,large,intermediate,filled,fullstack
481705e0-18e6-4382-b91a-fde14f2d8dfc,3e054c73-7696-4981-9a13-9b1c1b5f8297,Senior Backend Developer,"Seeking a Backend specialist (level: intermediate) for a 4–12 week engagement. Core work: Design a PostgreSQL schema for multi-tenant invoicing with row-level security. On top of that, you may help with refactor a monolithic Django backend into 3 microservices behind an API gateway.",individual,large,intermediate,closed,backend
ebb4368d-2fa3-4cfa-82f7-a15ecdc65103,cece1b15-5741-489b-95f3-a1b1aa206039,Product Design Specialist,"We are looking to hire a intermediate-level contributor for a remote Design engagement. Core work: Brand redesign for an EdTech startup — logo, type system, web and print collateral. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,large,intermediate,closed,design
cc82816f-a347-40e1-b1f8-d6a5c737a0b2,ff34f210-df0f-4955-bf30-25051c60a64d,Backend Developer,We are looking to hire a intermediate-level contributor for a remote Backend engagement. Core work: Migrate a legacy MySQL database to PostgreSQL with zero downtime. Secondary tasks may include design a PostgreSQL schema for multi-tenant invoicing with row-level security. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,medium,intermediate,active,backend
41418839-6ea0-41e3-b53a-9080bf6ab99c,1e361b8a-2275-4560-a830-4dc75962357c,Data Science Engineer,Seeking a Ml/Ai specialist (level: expert) for a 4–12 week engagement. We need someone to fine-tune an LLM on internal knowledge base for an internal Q&A bot. Secondary tasks may include train an image-tagging model and deploy via FastAPI with GPU autoscaling on Kubernetes. Prior experience shipping similar projects is required — please link relevant work. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.,team,medium,expert,closed,ml_ai
ec0e78bc-a83f-454c-91fa-6efba372dbc2,7027dfd6-9ee4-4327-b3b4-c49e57c1e4b0,Junior Backend Developer,"Project posting: Backend contractor at the entry level. Primary deliverable: Add full-text search to an existing FastAPI service using PostgreSQL tsvector. There is also some adjacent work around refactor a monolithic Django backend into 3 microservices behind an API gateway. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",team,large,entry,active,backend
f67c1fc2-86e9-4826-b76c-c2423bc81c61,6a810efa-23ca-4327-b2ad-6378e9969f15,Mid-level Solidity Engineer,Project posting: Blockchain contractor at the entry level. The main scope is: Audit and patch a lending protocol — disclose findings with severity ratings. Stretch goal if time allows: Develop an NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Two-week iteration cadence with one async demo per cycle. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,small,entry,active,blockchain
cbafbf3d-cdde-42e1-92e6-38e7f07b9e98,7f08553d-def3-4829-814c-24c5a8f5550f,DevOps Development Specialist,Our team needs an intermediate Devops freelancer to support an active project. We need someone to design a multi-region active-active setup with global load balancing. You should be comfortable owning the work end-to-end and writing brief weekly updates. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.,team,medium,intermediate,active,devops
308721c0-0a72-4e9f-877c-d6d0930ed327,e56ce896-2002-4bf8-9c91-c1f2a0833d37,Smart Contract Development Specialist,Seeking a Blockchain specialist (level: intermediate) for a 4–12 week engagement. Primary deliverable: Develop an NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Secondary tasks may include build a yield-aggregator vault with composable strategy modules. Prior experience shipping similar projects is required — please link relevant work. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,small,intermediate,active,blockchain
c9ed56ee-3070-4732-80a2-d25a928d87e8,9bf5b047-947a-47ad-9a86-60678e73833c,Lead Backend Developer,Our team needs an intermediate Backend freelancer to support an active project. Primary deliverable: Refactor a monolithic Django backend into 3 microservices behind an API gateway. Stretch goal if time allows: Migrate a legacy MySQL database to PostgreSQL with zero downtime. Good written English is required for async stand-ups; Bahasa Indonesia is a plus.,individual,small,intermediate,active,backend
7331e7a1-8e26-443b-8275-30f2615564ea,f885c8b2-e854-463a-b4b0-19c9a2ce5ac4,Lead Android Developer,Project posting: Mobile contractor at the intermediate level. The main scope is: Build a marketplace Android app supporting saved searches and chat negotiation. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.,individual,large,intermediate,filled,mobile
50cba8ff-c92c-41d2-85d0-73698530546a,683345dc-be3d-4f9a-8ae1-36c320974fa0,Blockchain Development Engineer,"Open contract: Blockchain work suited to a intermediate contributor. Core work: Implement a cross-chain bridge between Ethereum and Polygon using lock-and-mint. On top of that, you may help with build a yield-aggregator vault with composable strategy modules. Delivery is in two-week iterations with a demo at the end of each cycle.",team,large,intermediate,active,blockchain
9862e4c3-36c7-4179-8004-bde8733c3708,da5ff605-6145-4657-b842-e5452dd95bc8,UI Development Engineer,"Seeking a Frontend specialist (level: intermediate) for a 4–12 week engagement. Primary deliverable: Build an interactive data-viz dashboard using D3 and React. Secondary tasks may include build a customer dashboard with charting, filtering, and CSV export — must handle 200k rows. You should be comfortable owning the work end-to-end and writing brief weekly updates. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.",individual,medium,intermediate,filled,frontend
5822f2f4-f3b9-4681-8dbf-f01614642100,da51684d-c0f1-462e-a3bb-aac6d2283c38,UI Development Engineer,"Project posting: Frontend contractor at the intermediate level. Core work: Build a real-time chat UI with typing indicators, read receipts, and file uploads. There is also some adjacent work around refactor an Angular app to React with feature parity over 4 weeks. Delivery is in two-week iterations with a demo at the end of each cycle.",team,medium,intermediate,active,frontend
45d1c7cb-f87b-40a2-ab47-7a8c700bfa54,2e3c5f77-b3c1-4af1-8d59-1b7c585426f9,DevOps Development Specialist,Open contract: Devops work suited to a intermediate contributor. Primary deliverable: Audit AWS spend and implement right-sizing recommendations to cut 30% cost. We expect clear documentation of decisions and trade-offs.,individual,medium,intermediate,active,devops
1bd0f4ff-41c8-481c-97d0-c6e14e1f9c92,dde9c9cc-b1c1-4d48-9798-77dfaf18401b,API Development Specialist,Open contract: Backend work suited to a intermediate contributor. Core work: Build a background job queue using Redis streams to send transactional emails. Stretch goal if time allows: Implement event sourcing for an e-commerce order lifecycle. Delivery is in two-week iterations with a demo at the end of each cycle.,team,medium,intermediate,closed,backend
dbea9c03-acc3-4ab0-9915-d63254c11c02,7335fe18-714b-47e8-96b5-291932376d89,Site Reliability Engineer,Seeking a Devops specialist (level: intermediate) for a 4–12 week engagement. We need someone to implement blue/green deploys with automated rollback on failed health checks. Secondary tasks may include design a multi-region active-active setup with global load balancing. Good written English is required for async stand-ups; Bahasa Indonesia is a plus. Delivery is in two-week iterations with a demo at the end of each cycle.,team,large,intermediate,active,devops
4b16b4fe-6c24-4266-be38-b6cd31791daa,b270f1f6-2efb-4997-a511-2c155981695a,Frontend Development Specialist,Seeking a Frontend specialist (level: intermediate) for a 4–12 week engagement. We need someone to add accessibility (WCAG 2.1 AA) compliance to an existing SaaS product. There is also some adjacent work around create a marketing landing page with WebGL hero animation and 95+ Lighthouse score. Familiarity with our broader stack (see job role skills) is expected. Engagement is fully remote; team timezones are GMT+7 and GMT−5.,individual,medium,intermediate,active,frontend
