portfolio_id,freelancer_id,project_title,project_description,completion_date,is_auto_generated
74691eea-1ef5-40d1-b0f4-e017eaad7394,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,Frontend Engagement — 2025,"Completed project: Customer dashboard with charting, filtering, and CSV export — handles 200k rows. Delivered for client engagement.",2025-07-07,1
d631e4a9-e90a-411f-913b-a3963f7d0096,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,Frontend Engagement — 2022,Completed project: Marketing landing page with WebGL hero and 95+ Lighthouse score. Delivered for client engagement.,2022-06-23,1
f9ce93f4-1011-403f-986c-97b3d3430ce8,f00a463e-237b-4b2d-ae62-d150ad6495f4,Mobile Showcase: Travel itinerary builder with airline schedule syn,Travel itinerary builder with airline schedule sync and weather overlays. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2023-12-15,0
7bf8039f-6cbf-4943-a527-a8c3407ee29b,f00a463e-237b-4b2d-ae62-d150ad6495f4,Mobile Showcase: Banking transaction history with biometric login a,Banking transaction history with biometric login and offline view. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2023-01-19,0
4723275f-fc24-456a-bf40-1403088df432,f00a463e-237b-4b2d-ae62-d150ad6495f4,Mobile Showcase: Banking transaction history with biometric login a,Banking transaction history with biometric login and offline view. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2026-02-02,0
db7892c7-2704-4bf1-a1a6-75f41f4a15ac,f00a463e-237b-4b2d-ae62-d150ad6495f4,Mobile Engagement — 2024,Completed project: Banking transaction history with biometric login and offline view. Delivered for client engagement.,2024-01-14,1
05dcf8f2-30df-4656-93f0-e17446ddf1a7,f00a463e-237b-4b2d-ae62-d150ad6495f4,Mobile Engagement — 2023,Completed project: Banking transaction history with biometric login and offline view. Delivered for client engagement.,2023-06-18,1
953199d0-f37b-4612-adf4-307b60cafca7,12fe4c16-130e-4cdc-a04d-e1d5cb534814,Devops Showcase: Implemented blue/green deploys with automated roll,Implemented blue/green deploys with automated rollback on failed health checks. Personal/showcase project; full case-study available on request. Tech stack reflects core Devops expertise.,2024-06-12,0
731cfcb2-bfcb-40c4-97fc-bfc2bf53af04,7bb0a060-dc92-4322-a0d2-12245463e121,Ml Ai Showcase: Document RAG pipeline retrieving from 50k internal,Document RAG pipeline retrieving from 50k internal PDFs with citation tracking. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2024-12-09,0
ae6efa90-72f3-4379-a48f-a2e50916cc4f,7bb0a060-dc92-4322-a0d2-12245463e121,Ml Ai Engagement — 2025,Completed project: Customer-support classifier reducing first-response time by 40%. Delivered for client engagement.,2025-09-05,1
72ff54f1-2620-4c84-8f12-aa74fa1770c1,7bb0a060-dc92-4322-a0d2-12245463e121,Ml Ai Engagement — 2025,Completed project: Customer-support classifier reducing first-response time by 40%. Delivered for client engagement.,2025-09-05,1
22ddfcc1-9c79-433e-a8a4-039138b1cf97,39c31b33-bef0-41c9-aac1-0370fd095335,Backend Engagement — 2022,Completed project: GraphQL gateway aggregating three internal services into one API surface. Delivered for client engagement.,2022-07-23,1
97d9dfd4-dd7d-48b3-9261-5026327dd46c,39c31b33-bef0-41c9-aac1-0370fd095335,Backend Engagement — 2023,Completed project: Stripe-style webhook receiver with idempotent retries and dead-letter handling. Delivered for client engagement.,2023-09-16,1
17bd3abf-6da0-40a8-933e-973b6b294fcf,39c31b33-bef0-41c9-aac1-0370fd095335,Backend Engagement — 2023,Completed project: ETL pipeline ingesting nightly batches into PostgreSQL with Airflow scheduling. Delivered for client engagement.,2023-05-19,1
95b6dcb7-6fe7-4c44-b999-0bc472510afc,39c31b33-bef0-41c9-aac1-0370fd095335,Backend Engagement — 2022,Completed project: OAuth2 + JWT auth service handling 5k requests per minute. Delivered for client engagement.,2022-10-21,1
71f2dcbd-e790-410a-a948-8080faff477e,39c31b33-bef0-41c9-aac1-0370fd095335,Backend Showcase: OAuth2 + JWT auth service handling 5k requests per,OAuth2 + JWT auth service handling 5k requests per minute. Personal/showcase project; full case-study available on request. Tech stack reflects core Backend expertise.,2023-02-18,0
c093a60a-21ca-4180-a520-87f194380d50,9d744901-1ec8-4f64-a7c3-32deac059c83,Fullstack Engagement — 2026,"Completed project: Booking platform integrating Google Calendar, video calls, and SMS reminders. Delivered for client engagement.",2026-02-02,1
335f8788-34c4-40f6-b6b0-b41fe068a4aa,9d744901-1ec8-4f64-a7c3-32deac059c83,Fullstack Engagement — 2023,"Completed project: Booking platform integrating Google Calendar, video calls, and SMS reminders. Delivered for client engagement.",2023-03-20,1
98b4f376-496a-476c-9dcc-882b83bf0338,9d744901-1ec8-4f64-a7c3-32deac059c83,Fullstack Engagement — 2025,"Completed project: Subscription analytics dashboard pulling from MRR, churn, and LTV metrics. Delivered for client engagement.",2025-12-04,1
ddb78657-1b79-4ea0-99a1-5133096b6e4e,9d744901-1ec8-4f64-a7c3-32deac059c83,"Fullstack Showcase: Subscription analytics dashboard pulling from MRR,","Subscription analytics dashboard pulling from MRR, churn, and LTV metrics. Personal/showcase project; full case-study available on request. Tech stack reflects core Fullstack expertise.",2022-08-22,0
ba3e1915-7cb3-4d95-8d0b-9f185af3a477,9d744901-1ec8-4f64-a7c3-32deac059c83,"Fullstack Showcase: Booking platform integrating Google Calendar, vide","Booking platform integrating Google Calendar, video calls, and SMS reminders. Personal/showcase project; full case-study available on request. Tech stack reflects core Fullstack expertise.",2023-04-19,0
e150a27f-6e1f-40b1-8c7e-50e0af0646f6,5e15d00e-a62d-404a-8eac-abe7889f188f,Mobile Engagement — 2022,Completed project: Travel itinerary builder with airline schedule sync and weather overlays. Delivered for client engagement.,2022-05-24,1
7d371ceb-1e47-4d1f-bd19-3ab3fd4d8cfe,5e15d00e-a62d-404a-8eac-abe7889f188f,Mobile Engagement — 2024,Completed project: Marketplace Android app supporting saved searches and chat negotiation. Delivered for client engagement.,2024-04-13,1
bde3d985-129b-45eb-8a20-7471c289732e,5e15d00e-a62d-404a-8eac-abe7889f188f,Mobile Showcase: Banking transaction history with biometric login a,Banking transaction history with biometric login and offline view. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2025-03-09,0
705b6c93-16bb-41a2-965f-e666ce2e0119,6208b918-630d-4561-91ff-5b50a700140c,"Mobile Showcase: Food-delivery rider app with GPS tracking, push no","Food-delivery rider app with GPS tracking, push notifications, in-app payments. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.",2025-11-04,0
2eca6e5c-80df-49c4-8799-7ce11b13d20f,6208b918-630d-4561-91ff-5b50a700140c,Mobile Engagement — 2022,Completed project: Banking transaction history with biometric login and offline view. Delivered for client engagement.,2022-10-21,1
e23baa35-ef21-4e0a-b6cd-f760e585e520,6208b918-630d-4561-91ff-5b50a700140c,"Mobile Showcase: Food-delivery rider app with GPS tracking, push no","Food-delivery rider app with GPS tracking, push notifications, in-app payments. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.",2022-12-20,0
3e6fdfe2-a31d-417c-aa9c-7453014e4aa1,6208b918-630d-4561-91ff-5b50a700140c,Mobile Showcase: Health-tracking iOS app with HealthKit and Apple W,Health-tracking iOS app with HealthKit and Apple Watch companion. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2025-10-05,0
8a149aa9-8205-49f9-a984-09ae1a0ac4db,830a080d-3583-49d4-81bc-173e18446574,Mobile Engagement — 2025,Completed project: Marketplace Android app supporting saved searches and chat negotiation. Delivered for client engagement.,2025-07-07,1
21d18cea-ca69-4de3-9b3f-db3e133aab23,830a080d-3583-49d4-81bc-173e18446574,Mobile Engagement — 2023,Completed project: Health-tracking iOS app with HealthKit and Apple Watch companion. Delivered for client engagement.,2023-03-20,1
c213a12c-9da4-4359-9531-ee7641adf4dc,830a080d-3583-49d4-81bc-173e18446574,Mobile Showcase: Marketplace Android app supporting saved searches ,Marketplace Android app supporting saved searches and chat negotiation. Personal/showcase project; full case-study available on request. Tech stack reflects core Mobile expertise.,2024-11-09,0
8a2fbb42-7006-448d-aa66-40bf9014e6bd,830a080d-3583-49d4-81bc-173e18446574,Mobile Engagement — 2026,Completed project: Banking transaction history with biometric login and offline view. Delivered for client engagement.,2026-04-03,1
e307ea0c-b0e7-4d97-83f8-2880bbe395a6,ba9e1d73-22ff-4da8-bea3-1a33d10217fa,"Design Showcase: Brand redesign for an EdTech startup — logo, type ","Brand redesign for an EdTech startup — logo, type system, web and print collateral. Personal/showcase project; full case-study available on request. Tech stack reflects core Design expertise.",2025-02-07,0
ecc72066-a870-4819-83f4-e4ec0e1b3ac8,d8a7bd56-c08e-4542-b08a-5e45de4f589d,Devops Engagement — 2024,Completed project: On-call rotation with PagerDuty integration and runbook automation. Delivered for client engagement.,2024-02-13,1
efe8b087-14af-4acb-9147-b2e0b36f9e43,d8a7bd56-c08e-4542-b08a-5e45de4f589d,Devops Engagement — 2023,"Completed project: Migrated a monolith to ECS Fargate, cutting deploy time from 25 to 4 minutes. Delivered for client engagement.",2023-10-16,1
84fffcc8-e659-4cef-b316-e58b519f12c2,42e7ebf8-565a-4a5a-8abd-2619a89b4a5a,"Devops Showcase: Migrated a monolith to ECS Fargate, cutting deploy","Migrated a monolith to ECS Fargate, cutting deploy time from 25 to 4 minutes. Personal/showcase project; full case-study available on request. Tech stack reflects core Devops expertise.",2024-08-11,0
5d2b5500-9996-423e-89e8-4b759bb74d42,42e7ebf8-565a-4a5a-8abd-2619a89b4a5a,Devops Engagement — 2024,Completed project: Implemented blue/green deploys with automated rollback on failed health checks. Delivered for client engagement.,2024-08-11,1
8fee57bb-126a-478a-a5ef-9fe46979fd77,42e7ebf8-565a-4a5a-8abd-2619a89b4a5a,"Devops Showcase: Migrated a monolith to ECS Fargate, cutting deploy","Migrated a monolith to ECS Fargate, cutting deploy time from 25 to 4 minutes. Personal/showcase project; full case-study available on request. Tech stack reflects core Devops expertise.",2025-09-05,0
e2b9bd92-8805-457a-a630-e64b5bdafb06,42e7ebf8-565a-4a5a-8abd-2619a89b4a5a,Devops Engagement — 2022,"Completed project: Set up Terraform modules for repeatable VPC, RDS, and IAM provisioning. Delivered for client engagement.",2022-06-23,1
852051f4-1b8b-4263-abd2-2fd163c6e066,42e7ebf8-565a-4a5a-8abd-2619a89b4a5a,Devops Engagement — 2026,"Completed project: Set up Terraform modules for repeatable VPC, RDS, and IAM provisioning. Delivered for client engagement.",2026-01-03,1
023aea6e-8858-4df3-8b15-dd85b9d6cf55,e8ccccba-be0a-4bf2-8ef6-5f67fbeaada4,Fullstack Engagement — 2023,"Completed project: MVP for a fitness tracking SaaS — Next.js app, PostgreSQL, Stripe billing. Delivered for client engagement.",2023-04-19,1
6e6ada61-6ab6-40a4-8586-a535b9ae6922,e8ccccba-be0a-4bf2-8ef6-5f67fbeaada4,Fullstack Engagement — 2024,"Completed project: Booking platform integrating Google Calendar, video calls, and SMS reminders. Delivered for client engagement.",2024-08-11,1
0df187d1-66ca-45e6-b9a4-511d8846030e,0a9f04f1-21b3-4282-aa44-6c1114aef468,Ml Ai Engagement — 2026,Completed project: Customer-support classifier reducing first-response time by 40%. Delivered for client engagement.,2026-04-03,1
f60330a0-6e89-400b-9aaf-672eafaf24ad,0a9f04f1-21b3-4282-aa44-6c1114aef468,Ml Ai Showcase: Resume parser extracting structured fields with co,Resume parser extracting structured fields with confidence scores. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2026-04-03,0
fd041ca3-f963-47ea-92ff-e423c491670f,0a9f04f1-21b3-4282-aa44-6c1114aef468,Ml Ai Engagement — 2023,Completed project: Resume parser extracting structured fields with confidence scores. Delivered for client engagement.,2023-07-18,1
00b59f15-8528-4b6d-b81f-79b1e63c97b0,0a9f04f1-21b3-4282-aa44-6c1114aef468,Ml Ai Showcase: Sales-forecast model integrated into a finance das,"Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.",2022-07-23,0
6446627f-4dad-45e5-b7eb-a9eb0ff35603,0a9f04f1-21b3-4282-aa44-6c1114aef468,Ml Ai Engagement — 2025,Completed project: Resume parser extracting structured fields with confidence scores. Delivered for client engagement.,2025-08-06,1
42f65eaf-cd46-4e77-89a1-4fe2eb25ff4e,edda2d1e-f234-4c8c-bffc-e4f6109da7d2,Design Engagement — 2024,Completed project: Marketing site for a B2B SaaS product including illustrations and motion. Delivered for client engagement.,2024-06-12,1
2078a26f-effc-4f49-aec7-34133d59afd2,edda2d1e-f234-4c8c-bffc-e4f6109da7d2,Design Showcase: Marketing site for a B2B SaaS product including il,Marketing site for a B2B SaaS product including illustrations and motion. Personal/showcase project; full case-study available on request. Tech stack reflects core Design expertise.,2023-06-18,0
841ef62b-e8a9-4125-b4a9-853e8dca5b7c,edda2d1e-f234-4c8c-bffc-e4f6109da7d2,Design Engagement — 2024,Completed project: Internal tool UX overhaul reducing support tickets by 30%. Delivered for client engagement.,2024-06-12,1
d89b978e-4e2a-4678-a41f-e9b21e6a7cd8,a08d8c36-f421-4ae1-b8cb-fa9584891ae8,Ml Ai Engagement — 2023,Completed project: Resume parser extracting structured fields with confidence scores. Delivered for client engagement.,2023-01-19,1
239abc2a-7a49-4ef3-a6de-573a560de711,a08d8c36-f421-4ae1-b8cb-fa9584891ae8,Ml Ai Showcase: Sales-forecast model integrated into a finance das,"Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.",2022-09-21,0
60a7c6a9-8836-4d98-bfe7-e7dffbcf3b2a,a08d8c36-f421-4ae1-b8cb-fa9584891ae8,Ml Ai Showcase: Customer-support classifier reducing first-respons,Customer-support classifier reducing first-response time by 40%. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2023-12-15,0
90142b7a-0e39-45c8-bb0c-79671beba51a,25d167fd-2a95-4607-ad81-39bc5e0b5b60,Backend Engagement — 2023,Completed project: ETL pipeline ingesting nightly batches into PostgreSQL with Airflow scheduling. Delivered for client engagement.,2023-06-18,1
92c77eee-7960-4c86-9b13-ca214e342e9d,25d167fd-2a95-4607-ad81-39bc5e0b5b60,Backend Engagement — 2024,Completed project: Background worker queue using Redis streams for invoice generation. Delivered for client engagement.,2024-05-13,1
d8dd58e8-c5a4-418c-9bf2-85a2969e5621,faea9d6b-a40f-4d0f-a4d2-bdd210cc5c06,Blockchain Engagement — 2023,Completed project: Cross-chain bridge between Ethereum and Polygon using lock-and-mint. Delivered for client engagement.,2023-03-20,1
6e2d52f0-5fff-4df7-8845-989faebfb07e,da391e45-c117-422d-a279-6543183f4770,Blockchain Engagement — 2024,Completed project: DAO governance module with weighted voting and on-chain proposal storage. Delivered for client engagement.,2024-09-10,1
29ae97bc-e066-4d90-af4f-49d42b910046,da391e45-c117-422d-a279-6543183f4770,Blockchain Showcase: NFT minting contract with lazy-mint pattern saving,NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Personal/showcase project; full case-study available on request. Tech stack reflects core Blockchain expertise.,2022-07-23,0
4eb0b980-d5ec-4430-a9a7-b946891aefdf,da391e45-c117-422d-a279-6543183f4770,Blockchain Showcase: DEX router supporting Uniswap V3 and SushiSwap wit,DEX router supporting Uniswap V3 and SushiSwap with slippage protection. Personal/showcase project; full case-study available on request. Tech stack reflects core Blockchain expertise.,2024-10-10,0
d953d942-0c36-4fda-997d-7551ff803fc5,da391e45-c117-422d-a279-6543183f4770,Blockchain Engagement — 2023,Completed project: Cross-chain bridge between Ethereum and Polygon using lock-and-mint. Delivered for client engagement.,2023-06-18,1
9b91fe5b-5953-443c-9507-8161c1dcb2c7,da391e45-c117-422d-a279-6543183f4770,Blockchain Engagement — 2023,Completed project: Cross-chain bridge between Ethereum and Polygon using lock-and-mint. Delivered for client engagement.,2023-01-19,1
39ae8dcb-1b55-4c27-b4aa-2da755c33807,1e7bf2bc-0da5-4a37-a1a1-d0cf278e473b,Ml Ai Engagement — 2025,"Completed project: Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Delivered for client engagement.",2025-12-04,1
4439aed5-099a-4329-859e-58123f1244a8,1e7bf2bc-0da5-4a37-a1a1-d0cf278e473b,Ml Ai Engagement — 2026,"Completed project: Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Delivered for client engagement.",2026-03-04,1
df1676b9-6005-4625-8b03-d323f00c9252,1e7bf2bc-0da5-4a37-a1a1-d0cf278e473b,Ml Ai Showcase: Document RAG pipeline retrieving from 50k internal,Document RAG pipeline retrieving from 50k internal PDFs with citation tracking. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2025-08-06,0
53680176-12e2-45ce-807f-bcb724a3e515,c1f4da68-4d59-48a5-8c8e-a5e6344e77c1,Blockchain Showcase: Cross-chain bridge between Ethereum and Polygon us,Cross-chain bridge between Ethereum and Polygon using lock-and-mint. Personal/showcase project; full case-study available on request. Tech stack reflects core Blockchain expertise.,2024-10-10,0
073cc81f-4bc9-4add-a1c9-5b71d1448d01,c1f4da68-4d59-48a5-8c8e-a5e6344e77c1,Blockchain Engagement — 2025,Completed project: DEX router supporting Uniswap V3 and SushiSwap with slippage protection. Delivered for client engagement.,2025-12-04,1
d2b7a966-75cb-4c39-9f79-231b17e006d4,c1f4da68-4d59-48a5-8c8e-a5e6344e77c1,Blockchain Engagement — 2025,Completed project: Audited and patched a lending protocol — disclosed two medium findings. Delivered for client engagement.,2025-07-07,1
ef88d1f8-c27f-48b6-8d4a-8b1b60a5d123,c1f4da68-4d59-48a5-8c8e-a5e6344e77c1,Blockchain Engagement — 2022,Completed project: Audited and patched a lending protocol — disclosed two medium findings. Delivered for client engagement.,2022-07-23,1
590f4dad-25ee-4b9b-bf3a-80a0d2d5ac25,c1f4da68-4d59-48a5-8c8e-a5e6344e77c1,Blockchain Engagement — 2024,Completed project: DEX router supporting Uniswap V3 and SushiSwap with slippage protection. Delivered for client engagement.,2024-01-14,1
4c9548a3-1bed-41f8-8549-552b13646d91,ddb8edea-9a3b-4dc2-b2d0-2dd579572127,Backend Showcase: GraphQL gateway aggregating three internal service,GraphQL gateway aggregating three internal services into one API surface. Personal/showcase project; full case-study available on request. Tech stack reflects core Backend expertise.,2025-01-08,0
d72b52f8-5eda-49c9-8365-21287f9ba9df,52c4ab91-1eac-4995-b9bb-531a9dbedbf7,"Devops Showcase: Migrated a monolith to ECS Fargate, cutting deploy","Migrated a monolith to ECS Fargate, cutting deploy time from 25 to 4 minutes. Personal/showcase project; full case-study available on request. Tech stack reflects core Devops expertise.",2023-08-17,0
977ec607-b51f-4ea5-82c6-7a84c8a193f9,52c4ab91-1eac-4995-b9bb-531a9dbedbf7,Devops Engagement — 2023,Completed project: Implemented blue/green deploys with automated rollback on failed health checks. Delivered for client engagement.,2023-05-19,1
e3408cd6-92ea-476a-ad79-c17ba9026514,fef3feda-0fdf-4e6b-8b22-17562b0e6077,Ml Ai Showcase: Customer-support classifier reducing first-respons,Customer-support classifier reducing first-response time by 40%. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2023-11-15,0
73e74e88-0e17-454b-9ddd-10a59fea33a0,391cf51c-0cb4-48dd-8b26-1288d83cfaf1,Design Engagement — 2025,Completed project: Design system covering 80 components with light/dark themes and tokens. Delivered for client engagement.,2025-05-08,1
8cd32b3b-32b8-4928-a1c0-dd802ba3a47a,391cf51c-0cb4-48dd-8b26-1288d83cfaf1,Design Engagement — 2024,Completed project: Mobile app redesign cutting onboarding drop-off from 60% to 25%. Delivered for client engagement.,2024-04-13,1
df0ebe56-3125-4415-ab70-e6f189ce90e9,391cf51c-0cb4-48dd-8b26-1288d83cfaf1,Design Showcase: Design system covering 80 components with light/da,Design system covering 80 components with light/dark themes and tokens. Personal/showcase project; full case-study available on request. Tech stack reflects core Design expertise.,2024-03-14,0
38d36a28-63fb-4ab9-814c-9cd67b38e8d8,391cf51c-0cb4-48dd-8b26-1288d83cfaf1,Design Showcase: Internal tool UX overhaul reducing support tickets,Internal tool UX overhaul reducing support tickets by 30%. Personal/showcase project; full case-study available on request. Tech stack reflects core Design expertise.,2026-01-03,0
56f4add8-64e0-422d-a34c-0adc295aba85,f61e2464-8a04-4310-9acd-e778ec432da8,Ml Ai Engagement — 2025,Completed project: Customer-support classifier reducing first-response time by 40%. Delivered for client engagement.,2025-10-05,1
cdf1863f-b968-4007-965c-4b1bb95177e0,957c0a05-35f0-480e-a542-911f29c7d22f,Blockchain Engagement — 2026,Completed project: NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Delivered for client engagement.,2026-04-03,1
4e34e755-caa0-4e6f-8a26-b1a49a7f302a,957c0a05-35f0-480e-a542-911f29c7d22f,Blockchain Engagement — 2022,Completed project: Cross-chain bridge between Ethereum and Polygon using lock-and-mint. Delivered for client engagement.,2022-08-22,1
a22379f9-57f9-4c48-b26c-be66929758e1,957c0a05-35f0-480e-a542-911f29c7d22f,Blockchain Showcase: NFT minting contract with lazy-mint pattern saving,NFT minting contract with lazy-mint pattern saving 60% gas vs eager mint. Personal/showcase project; full case-study available on request. Tech stack reflects core Blockchain expertise.,2024-08-11,0
664df3b4-1aa7-470d-9d4b-ae617c1f421d,957c0a05-35f0-480e-a542-911f29c7d22f,Blockchain Engagement — 2022,Completed project: DEX router supporting Uniswap V3 and SushiSwap with slippage protection. Delivered for client engagement.,2022-06-23,1
2fdc360f-2163-4e1d-be6c-c5f6acbbf54e,66ca12a7-d96f-441b-b87c-d384eff210fe,Ml Ai Engagement — 2024,Completed project: Document RAG pipeline retrieving from 50k internal PDFs with citation tracking. Delivered for client engagement.,2024-05-13,1
63670051-33e7-443b-b6c1-f37849b2332f,66ca12a7-d96f-441b-b87c-d384eff210fe,Ml Ai Showcase: Image-tagging model deployed via FastAPI with GPU ,Image-tagging model deployed via FastAPI with GPU autoscaling on Kubernetes. Personal/showcase project; full case-study available on request. Tech stack reflects core Ml Ai expertise.,2025-07-07,0
29d8db62-b69f-46ab-9217-7dde14022070,66ca12a7-d96f-441b-b87c-d384eff210fe,Ml Ai Engagement — 2025,"Completed project: Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Delivered for client engagement.",2025-12-04,1
350b638f-c58a-4744-8f57-016f6d7d1a06,66ca12a7-d96f-441b-b87c-d384eff210fe,Ml Ai Engagement — 2023,"Completed project: Sales-forecast model integrated into a finance dashboard, MAPE under 8%. Delivered for client engagement.",2023-09-16,1
f41dd41e-f991-4c93-a8eb-1e41ec06d018,d8703ae4-ae6d-4532-986d-2effd7a90547,Backend Engagement — 2025,Completed project: ETL pipeline ingesting nightly batches into PostgreSQL with Airflow scheduling. Delivered for client engagement.,2025-12-04,1
